block no,last id of block,x,y,x1,y1
1,1548657400588,1,16,1.05,16.8
2,1548657451207,2,16,2.1,16.8
3,1548657485046,2,17,2.1,17.85
4,1548657801766,3,16,3.15,16.8
5,1548657849829,3,17,3.15,17.85
6,1548658077810,4,16,4.2,16.8
7,1548658228906,4,17,4.2,17.85
8,1548658413813,5,16,5.25,16.8
9,1548658687867,5,17,5.25,17.85
10,1548658773175,6,16,6.3,16.8
11,1548658938304,6,17,6.3,17.85
12,1548659074187,7,16,7.35,16.8
13,1548659138622,7,17,7.35,17.85
14,1548659457123,8,16,8.4,16.8
15,1548659586656,8,17,8.4,17.85
16,1548659780700,9,16,9.45,16.8
17,1548728698414,9,17,9.45,17.85
18,1548728757184,10,16,10.5,16.8
19,1548728884900,10,17,10.5,17.85
20,1548728989825,11,16,11.55,16.8
21,1548729046871,11,17,11.55,17.85
22,1548729581742,12,16,12.6,16.8
23,1548729654717,12,17,12.6,17.85
24,1548729739898,13,16,13.65,16.8
25,1548729837453,13,17,13.65,17.85
26,1548729911456,14,16,14.7,16.8
27,1548730065600,14,17,14.7,17.85
28,1548730172334,15,16,15.75,16.8
29,1548730225729,15,17,15.75,17.85
30,1548730278252,16,16,16.8,16.8
31,1548730424951,16,17,16.8,17.85
32,1548730717876,17,16,17.85,16.8
33,1548730812840,17,17,17.85,17.85
34,1548730934416,18,16,18.9,16.8
35,1548730976975,18,17,18.9,17.85
36,1548731031593,19,16,19.95,16.8
37,1548731103597,19,17,19.95,17.85
38,1548731218917,19,18,19.95,18.9
39,1548731272929,19,19,19.95,19.95
40,1548731368810,19,20,19.95,21
41,1548731840474,20,16,21,16.8
42,1548731889200,20,17,21,17.85
43,1548731940804,20,18,21,18.9
44,1548731997789,20,19,21,19.95
45,1548732056336,20,20,21,21
46,1548732211357,20,21,21,22.05
47,1548732373885,21,16,22.05,16.8
48,1548732443348,21,17,22.05,17.85
49,1548732537929,21,18,22.05,18.9
50,1548732581516,21,19,22.05,19.95
51,1548733050014,21,20,22.05,21
52,1548733126628,21,21,22.05,22.05
53,1548733227306,21,22,22.05,23.1
54,1548733294173,22,16,23.1,16.8
55,1548733334122,22,17,23.1,17.85
56,1548733365202,22,18,23.1,18.9
57,1548733471946,22,20,23.1,21
58,1548733555295,22,21,23.1,22.05
59,1548733619511,22,22,23.1,23.1
60,1548733686038,22,23,23.1,24.15
61,1548733954047,23,16,24.15,16.8
62,1548733992531,23,17,24.15,17.85
63,1548734112064,23,18,24.15,18.9
64,1548734178870,23,20,24.15,21
65,1548734259019,23,22,24.15,23.1
66,1548734339489,23,23,24.15,24.15
67,1548734568385,23,24,24.15,25.2
68,1548734750079,24,16,25.2,16.8
69,1548734781994,24,17,25.2,17.85
70,1548734862309,24,18,25.2,18.9
71,1548734928520,24,20,25.2,21
72,1548734979553,24,21,25.2,22.05
73,1548735140742,24,22,25.2,23.1
74,1548735331734,24,23,25.2,24.15
75,1548735755486,24,24,25.2,25.2
76,1548736157819,24,25,25.2,26.25
77,1548736257287,25,16,26.25,16.8
78,1548736316443,25,17,26.25,17.85
79,1548736359139,25,18,26.25,18.9
80,1548736435786,25,20,26.25,21
81,1548736477464,25,21,26.25,22.05
82,1548736626003,25,22,26.25,23.1
83,1548736815051,25,24,26.25,25.2
84,1548736969496,25,25,26.25,26.25
85,1548737081650,26,16,27.3,16.8
86,1548737146451,26,17,27.3,17.85
87,1548737227736,26,18,27.3,18.9
88,1548737282773,26,19,27.3,19.95
89,1548737338160,26,20,27.3,21
90,1548737396673,26,21,27.3,22.05
91,1548737484081,26,22,27.3,23.1
92,1548737640093,26,23,27.3,24.15
93,1548737768863,26,24,27.3,25.2
94,1548737823184,26,25,27.3,26.25
95,1549255245222,28,43,29.4,45.15
96,1549257694678,28,42,29.4,44.1
97,1549264635021,28,41,29.4,43.05
98,1549264873384,27,40,28.35,42
99,1549265582546,28,40,29.4,42
100,1549266720305,27,39,28.35,40.95
101,1549267347793,28,39,29.4,40.95
102,1549428250839,27,38,28.35,39.9
103,1549428653528,28,38,29.4,39.9
104,1549429136692,27,37,28.35,38.85
105,1549430598524,28,37,29.4,38.85
106,1549431184531,27,36,28.35,37.8
107,1549432530739,28,36,29.4,37.8
108,1549441869317,27,35,28.35,36.75
109,1549442446420,28,35,29.4,36.75
110,1549442914519,27,34,28.35,35.7
111,1549443064122,28,34,29.4,35.7
112,1549443145059,27,33,28.35,34.65
113,1549443610641,28,33,29.4,34.65
114,1549443755866,27,32,28.35,33.6
115,1549444104400,28,32,29.4,33.6
116,1549514583238,27,31,28.35,32.55
117,1549514722009,28,31,29.4,32.55
118,1549515080288,27,30,28.35,31.5
119,1549515404538,28,30,29.4,31.5
120,1549516407463,27,29,28.35,30.45
121,1549516552686,28,29,29.4,30.45
122,1549516712325,27,28,28.35,29.4
123,1549516869258,28,28,29.4,29.4
124,1549517117977,27,27,28.35,28.35
125,1549517249298,28,27,29.4,28.35
126,1549517374596,27,26,28.35,27.3
127,1549517537336,28,26,29.4,27.3
128,1549517726977,27,25,28.35,26.25
129,1549517844302,28,25,29.4,26.25
130,1549517965032,27,24,28.35,25.2
131,1549518081518,28,24,29.4,25.2
132,1549518183170,27,23,28.35,24.15
133,1549518678201,28,23,29.4,24.15
134,1549518814357,27,22,28.35,23.1
135,1549518982057,28,22,29.4,23.1
136,1549519073015,27,21,28.35,22.05
137,1549519146114,28,21,29.4,22.05
138,1549519239851,27,20,28.35,21
139,1550028207586,28,20,29.4,21
140,1550028577647,27,19,28.35,19.95
141,1550028633561,28,19,29.4,19.95
142,1550028676959,27,18,28.35,18.9
143,1550028748682,28,18,29.4,18.9
144,1550028806335,27,17,28.35,17.85
145,1550028869421,28,17,29.4,17.85
146,1550028954934,29,17,30.45,17.85
147,1550029067299,27,16,28.35,16.8
148,1550029268164,28,16,29.4,16.8
149,1550029364953,29,16,30.45,16.8
150,1550029476152,30,16,31.5,16.8
151,1550029544363,27,15,28.35,15.75
152,1550029653326,28,15,29.4,15.75
153,1550029726353,29,15,30.45,15.75
154,1550029994569,30,15,31.5,15.75
155,1550030076318,31,15,32.55,15.75
156,1550030210947,28,14,29.4,14.7
157,1550030740052,29,14,30.45,14.7
158,1550030891264,30,14,31.5,14.7
159,1550030998758,31,14,32.55,14.7
160,1550031162471,32,14,33.6,14.7
161,1550031452317,29,13,30.45,13.65
162,1550039751603,30,13,31.5,13.65
163,1550040021759,31,13,32.55,13.65
164,1550040134309,32,13,33.6,13.65
165,1550040282423,33,13,34.65,13.65
166,1550040486310,34,13,35.7,13.65
167,1550040740709,35,13,36.75,13.65
168,1550041427898,36,13,37.8,13.65
169,1550042318281,37,13,38.85,13.65
170,1550042582117,38,13,39.9,13.65
171,1550042922323,39,13,40.95,13.65
172,1550043611759,40,13,42,13.65
173,,41,13,43.05,13.65
174,1550047935957,31,12,32.55,12.6
175,1550048215224,32,12,33.6,12.6
176,1550048338399,33,12,34.65,12.6
177,1550048832995,34,12,35.7,12.6
178,1550049153969,35,12,36.75,12.6
179,1550049400918,36,12,37.8,12.6
180,1550050364750,37,12,38.85,12.6
181,1550050522058,38,12,39.9,12.6
182,1550050801978,39,12,40.95,12.6
183,1550113316191,40,12,42,12.6
184,1550113843804,41,12,43.05,12.6
185,1550114065896,31,11,32.55,11.55
186,1550115760034,32,11,33.6,11.55
187,1550115939864,33,11,34.65,11.55
188,1550117310612,34,11,35.7,11.55
189,1550120300329,35,11,36.75,11.55
190,1550121775574,36,11,37.8,11.55
191,1551063418713,37,11,38.85,11.55
192,1551064893924,38,11,39.9,11.55
193,,39,11,40.95,11.55
194,1551065146288,31,10,32.55,10.5
195,1551065684989,32,10,33.6,10.5
196,1551066149810,33,10,34.65,10.5
197,,34,10,35.7,10.5
198,,35,10,36.75,10.5
199,,36,10,37.8,10.5
200,,37,10,38.85,10.5
201,,38,10,39.9,10.5
202,,31,9,32.55,9.45
203,,32,9,33.6,9.45
204,1551071294836,33,9,34.65,9.45
205,,34,9,35.7,9.45
206,,35,9,36.75,9.45
207,,36,9,37.8,9.45
208,,37,9,38.85,9.45
209,,33,8,34.65,8.4
210,,34,8,35.7,8.4
211,,35,8,36.75,8.4
212,,36,8,37.8,8.4
213,,33,7,34.65,7.35
214,,34,7,35.7,7.35
215,,35,7,36.75,7.35
216,,32,6,33.6,6.3
217,,33,6,34.65,6.3
218,,34,6,35.7,6.3
219,,32,5,33.6,5.25
220,,33,5,34.65,5.25
221,,32,4,33.6,4.2
222,,31,3,32.55,3.15
223,,32,3,33.6,3.15
224,,31,2,32.55,2.1
225,,31,1,32.55,1.05